from_scats,to_scats,road,distance_km,edge_type
2200,3126,CONNECTOR,1.277,connector_edge
2846,4043,CONNECTOR,1.6711,connector_edge
4262,4812,CONNECTOR,0.7925,connector_edge
4262,4821,CONNECTOR,1.1251,connector_edge
4324,4335,CONNECTOR,0.3856,connector_edge
970,3685,WARRIGAL_RD,1.3885,road_name_match
2000,3682,WARRIGAL_RD,1.6546,road_name_match
2000,3685,WARRIGAL_RD,0.3351,road_name_match
2820,3662,PRINCESS_ST,1.5808,road_name_match
2825,4030,BURKE_RD,1.0017,road_name_match
2827,4051,BULLEEN_RD,1.6234,road_name_match
3001,3002,BARKERS_RD,0.3728,road_name_match
3001,3662,HIGH_ST,0.7737,road_name_match
3120,3122,CANTERBURY_RD,0.6555,road_name_match
3120,4035,BURKE_RD,0.6043,road_name_match
3120,4040,BURKE_RD,1.1155,road_name_match
3122,3127,CANTERBURY_RD,1.1802,road_name_match
3126,3127,CANTERBURY_RD,1.8561,road_name_match
3126,3682,WARRIGAL_RD,1.0327,road_name_match
3127,4063,BALWYN_RD,1.2392,road_name_match
3180,4051,DONCASTER_RD,1.2589,road_name_match
3180,4057,BALWYN_RD,0.9247,road_name_match
3662,4335,HIGH_ST,0.7249,road_name_match
3804,3812,TRAFALGAR_RD,0.4663,road_name_match
3804,4040,RIVERSDALE_RD,0.6221,road_name_match
4030,4032,BURKE_RD,0.721,road_name_match
4030,4051,DONCASTER_RD,0.6427,road_name_match
4032,4034,BURKE_RD,1.0628,road_name_match
4034,4035,BURKE_RD,0.6516,road_name_match
4034,4063,WHITEHORSE_RD,1.8355,road_name_match
4040,4043,BURKE_RD,1.6044,road_name_match
4040,4272,RIVERSDALE_RD,0.7741,road_name_match
4043,4273,TOORAK_RD,0.7897,road_name_match
4057,4063,BALWYN_RD,1.0943,road_name_match
4262,4263,BURWOOD_RD,0.8987,road_name_match
4263,4264,BURWOOD_RD,0.7956,road_name_match
4264,4270,GLENFERRIE_RD,0.6317,road_name_match
4264,4324,GLENFERRIE_RD,1.6496,road_name_match
4270,4272,RIVERSDALE_RD,1.2261,road_name_match
4272,4273,TOORONGA_RD,1.6279,road_name_match
4321,4335,HIGH_ST,1.3941,road_name_match
